15:21:29.073 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:45:40.756 [ApplicationImpl pooled thread 48] INFO  c.b.l.BrowserStackRunExtension - testng
22:45:40.756 [ApplicationImpl pooled thread 48] INFO  com.browserstack.utils.Helpers - null
22:45:40.757 [ApplicationImpl pooled thread 48] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:58:01.782 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - testng
22:58:01.783 [ApplicationImpl pooled thread 59] INFO  com.browserstack.utils.Helpers - null
22:58:01.783 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:59:08.700 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - testng
22:59:08.700 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
22:59:08.700 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:59:16.762 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - testng
22:59:16.762 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
22:59:16.763 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:00:08.986 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - testng
23:00:08.987 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
23:00:08.987 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:18:00.351 [ApplicationImpl pooled thread 71] INFO  c.b.l.BrowserStackRunExtension - testng
23:18:00.351 [ApplicationImpl pooled thread 71] INFO  com.browserstack.utils.Helpers - null
23:18:00.352 [ApplicationImpl pooled thread 71] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:22:36.498 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - testng
15:22:36.498 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:22:36.498 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:27:43.221 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - testng
15:27:43.221 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:27:43.221 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:40:43.248 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - testng
15:40:43.248 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
15:40:43.248 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:41:40.202 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - testng
15:41:40.202 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
15:41:40.216 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:42:53.717 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - testng
15:42:53.717 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - null
15:42:53.717 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:44:36.187 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - testng
15:44:36.192 [ApplicationImpl pooled thread 4] INFO  com.browserstack.utils.Helpers - null
15:44:36.193 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:54:41.489 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - testng
14:54:41.491 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
14:54:41.491 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:52:59.317 [ApplicationImpl pooled thread 1] INFO  c.b.l.BrowserStackRunExtension - maven
15:52:59.318 [ApplicationImpl pooled thread 1] INFO  com.browserstack.utils.Helpers - null
15:54:07.826 [ApplicationImpl pooled thread 1] INFO  c.b.l.BrowserStackRunExtension - maven
15:54:07.826 [ApplicationImpl pooled thread 1] INFO  com.browserstack.utils.Helpers - null
15:54:52.069 [ApplicationImpl pooled thread 13] INFO  c.b.l.BrowserStackRunExtension - maven
15:54:52.069 [ApplicationImpl pooled thread 13] INFO  com.browserstack.utils.Helpers - null
16:02:23.791 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - testng
16:02:23.792 [ApplicationImpl pooled thread 23] INFO  com.browserstack.utils.Helpers - null
16:02:23.793 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:35:39.157 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - testng
22:35:39.157 [ApplicationImpl pooled thread 23] INFO  com.browserstack.utils.Helpers - null
22:35:39.157 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:25:12.279 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - testng
22:25:12.279 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
22:25:12.282 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
22:29:42.492 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - testng
